dataset,n,tsteps,threads,seconds_time_elapsed,insn_per_cycle,branch_misses
test2g,0,0,0,0.011400824,1.05,31452
test2g,0,0,2,0.011479268,1.06,32451
test2g,0,0,4,0.011214945,1.04,31406
test2g,0,0,8,0.011456596,1.06,32639
test2g,0,0,8,0.011305228,1.05,31167
test2g,0,0,2,0.011320582,1.05,31812
test2g,0,0,4,0.011241706,1.06,31859
test2g,0,0,8,0.011294598,1.05,32493
test2g,0,0,8,0.011397652,1.06,32407
test2g,0,0,2,0.011330447,1.04,31450
test2g,0,0,4,0.011301467,1.04,32002
test2g,0,0,8,0.011271649,1.04,31838
test2g,0,0,8,0.011280405,1.04,31750
test2g,0,0,2,0.011282139,1.04,31212
test2g,0,0,4,0.011254274,1.06,31410
test2g,0,0,8,0.011596171,1.05,31732
test10g,0,0,0,0.011362948,1.06,31532
test10g,0,0,2,0.011323708,1.05,31934
test10g,0,0,4,0.011344619,1.06,31960
test10g,0,0,8,0.011366531,1.05,31992
test10g,0,0,8,0.011203189,1.05,30610
test10g,0,0,2,0.011265680,1.05,31471
test10g,0,0,4,0.011462736,1.05,31344
test10g,0,0,8,0.011307384,1.04,32275
test10g,0,0,8,0.011244211,1.05,31435
test10g,0,0,2,0.011433126,1.05,32732
test10g,0,0,4,0.011337906,1.05,32401
test10g,0,0,8,0.011464497,1.05,32499
test10g,0,0,8,0.011382932,1.06,31500
test10g,0,0,2,0.011857640,1.05,31374
test10g,0,0,4,0.011288972,1.05,32430
test10g,0,0,8,0.011379906,1.04,31804
test100g,0,0,0,0.011216189,1.05,31316
test100g,0,0,2,0.011280321,1.04,31765
test100g,0,0,4,0.011346619,1.05,31726
test100g,0,0,8,0.011266962,1.05,31861
test100g,0,0,8,0.011488487,1.04,32731
test100g,0,0,2,0.011338937,1.05,31642
test100g,0,0,4,0.011277462,1.04,31687
test100g,0,0,8,0.011394323,1.05,32007
test100g,0,0,8,0.011396849,1.05,31965
test100g,0,0,2,0.011333520,1.04,31733
test100g,0,0,4,0.011427735,1.05,31774
test100g,0,0,8,0.011914089,1.06,32604
test100g,0,0,8,0.011435590,1.07,32002
test100g,0,0,2,0.011381208,1.04,32002
test100g,0,0,4,0.011494810,1.05,32359
test100g,0,0,8,0.011236997,1.05,31786
test1000g,0,0,0,0.011188465,1.05,31367
test1000g,0,0,2,0.011241252,1.05,31273
test1000g,0,0,4,0.011394870,1.05,32011
test1000g,0,0,8,0.011221284,1.05,32184
test1000g,0,0,8,0.011366692,1.04,32605
test1000g,0,0,2,0.011266810,1.03,31906
test1000g,0,0,4,0.011262394,1.04,31832
test1000g,0,0,8,0.011294327,1.05,31914
test1000g,0,0,8,0.011367828,1.05,32370
test1000g,0,0,2,0.011462174,1.05,32287
test1000g,0,0,4,0.011366880,1.05,32250
test1000g,0,0,8,0.011254570,1.05,31489
test1000g,0,0,8,0.011264263,1.04,31645
test1000g,0,0,2,0.011356515,1.06,31653
test1000g,0,0,4,0.011324832,1.05,31920
test1000g,0,0,8,0.011427407,1.06,31510
test10000g,0,0,0,0.011277961,1.05,31099
test10000g,0,0,2,0.011261294,1.05,31820
test10000g,0,0,4,0.011267159,1.06,32001
test10000g,0,0,8,0.011322373,1.05,30845
test10000g,0,0,8,0.011360604,1.05,31067
test10000g,0,0,2,0.011283514,1.06,31852
test10000g,0,0,4,0.011256206,1.05,31879
test10000g,0,0,8,0.011373318,1.05,31286
test10000g,0,0,8,0.011354505,1.05,31375
test10000g,0,0,2,0.012331076,1.08,32843
test10000g,0,0,4,0.011319681,1.04,32157
test10000g,0,0,8,0.011252268,1.03,31694
test10000g,0,0,8,0.011371875,1.05,32609
test10000g,0,0,2,0.011367823,1.07,32492
test10000g,0,0,4,0.011720137,1.03,32401
test10000g,0,0,8,0.011328540,1.04,32196

