dataset,n,tsteps,threads,seconds_time_elapsed,insn_per_cycle,branch_misses
test2,500,2,1,0.020155936,0.86,17338
test2,500,2,2,0.012434841,0.91,19546
test2,500,2,4,0.008655425,1.04,22464
test2,500,2,8,0.009595334,0.84,28488
test10,1000,10,1,0.020132889,0.86,17959
test10,1000,10,2,0.012436133,0.92,19625
test10,1000,10,4,0.008664446,1.04,22150
test10,1000,10,8,0.014668014,0.84,28331
test100,10000,100,1,0.020029235,0.86,17427
test100,10000,100,2,0.012447216,0.92,19707
test100,10000,100,4,0.008644836,1.03,22119
test100,10000,100,8,0.009641611,0.84,27374
test1000,100000,1000,1,0.020104351,0.86,17709
test1000,100000,1000,2,0.012442419,0.92,19688
test1000,100000,1000,4,0.008655879,1.02,22315
test1000,100000,1000,8,0.009771571,0.85,27897
test10000,1000000,1000,1,0.020143477,0.86,17706
test10000,1000000,1000,2,0.012571322,0.91,19783
test10000,1000000,1000,4,0.008703072,1.04,22578
test10000,1000000,1000,8,0.009812952,0.84,28007

