dataset,n,tsteps,cpu_threads,block_size,seconds_time_elapsed,insn_per_cycle,branch_misses,gpu_teams,gpu_threads_per_team,cuda_threads,ket_ms,saxpy_ms
test_mini_CU_qa,500,2,nan,32,0.160349915,0.52,453088,nan,nan,128,2.449,0.024
test_mini_CU_qa,500,2,nan,128,0.138925179,0.51,455090,nan,nan,128,2.363,0.023
test_mini_CU_qa,500,2,nan,256,0.139185819,0.51,452216,nan,nan,128,3.755,0.022
test_mini_CU_qa,500,2,nan,512,0.146369590,0.51,460692,nan,nan,128,3.456,0.052
test_mini_CU_qa,500,2,nan,32,0.151703776,0.52,446822,nan,nan,256,2.376,0.022
test_mini_CU_qa,500,2,nan,128,0.137774421,0.51,458028,nan,nan,256,2.425,0.024
test_mini_CU_qa,500,2,nan,256,0.144194865,0.51,453786,nan,nan,256,2.431,0.024
test_mini_CU_qa,500,2,nan,512,0.148460002,0.51,465501,nan,nan,256,3.495,0.025
test_mini_CU_qa,500,2,nan,32,0.148672151,0.51,472273,nan,nan,512,4.605,0.052
test_mini_CU_qa,500,2,nan,128,0.121626682,0.51,456608,nan,nan,512,5.314,0.051
test_mini_CU_qa,500,2,nan,256,0.129538757,0.51,441776,nan,nan,512,2.475,0.024
test_mini_CU_qa,500,2,nan,512,0.133049829,0.52,448400,nan,nan,512,2.449,0.025
test_small_CU_qa,1000,10,nan,32,0.151297908,0.51,461938,nan,nan,128,2.363,0.023
test_small_CU_qa,1000,10,nan,128,0.132353422,0.51,442943,nan,nan,128,2.381,0.023
test_small_CU_qa,1000,10,nan,256,0.125476720,0.51,447924,nan,nan,128,2.416,0.024
test_small_CU_qa,1000,10,nan,512,0.129435945,0.52,438792,nan,nan,128,2.410,0.025
test_small_CU_qa,1000,10,nan,32,0.130238803,0.51,446975,nan,nan,256,2.484,0.025
test_small_CU_qa,1000,10,nan,128,0.125372490,0.51,465271,nan,nan,256,5.278,0.051
test_small_CU_qa,1000,10,nan,256,0.132705232,0.51,438788,nan,nan,256,2.420,0.023
test_small_CU_qa,1000,10,nan,512,0.128519450,0.51,441951,nan,nan,256,2.412,0.024
test_small_CU_qa,1000,10,nan,32,0.131887561,0.50,480563,nan,nan,512,4.615,0.052
test_small_CU_qa,1000,10,nan,128,0.124476089,0.51,449657,nan,nan,512,2.521,0.024
test_small_CU_qa,1000,10,nan,256,0.133680936,0.51,455602,nan,nan,512,2.417,0.023
test_small_CU_qa,1000,10,nan,512,0.127869804,0.51,464089,nan,nan,512,2.318,0.021
test_standard_CU_qa,10000,100,nan,32,0.146401358,0.51,462529,nan,nan,128,4.554,0.051
test_standard_CU_qa,10000,100,nan,128,0.130290192,0.51,447864,nan,nan,128,5.231,0.062
test_standard_CU_qa,10000,100,nan,256,0.125356158,0.51,444789,nan,nan,128,2.409,0.025
test_standard_CU_qa,10000,100,nan,512,0.124956933,0.51,464862,nan,nan,128,5.214,0.050
test_standard_CU_qa,10000,100,nan,32,0.128613872,0.51,452986,nan,nan,256,4.513,0.052
test_standard_CU_qa,10000,100,nan,128,0.122002653,0.51,444479,nan,nan,256,2.352,0.019
test_standard_CU_qa,10000,100,nan,256,0.131812729,0.51,444158,nan,nan,256,2.398,0.024
test_standard_CU_qa,10000,100,nan,512,0.137353524,0.51,457788,nan,nan,256,2.397,0.023
test_standard_CU_qa,10000,100,nan,32,0.125104811,0.51,455214,nan,nan,512,4.609,0.052
test_standard_CU_qa,10000,100,nan,128,0.123459950,0.51,463458,nan,nan,512,5.353,0.054
test_standard_CU_qa,10000,100,nan,256,0.131464786,0.50,486975,nan,nan,512,5.341,0.052
test_standard_CU_qa,10000,100,nan,512,0.128165990,0.51,464086,nan,nan,512,5.264,0.051
test_large_CU_qa,100000,1000,nan,32,0.153374472,0.51,468368,nan,nan,128,3.135,0.022
test_large_CU_qa,100000,1000,nan,128,0.133993916,0.51,449879,nan,nan,128,5.265,0.073
test_large_CU_qa,100000,1000,nan,256,0.129050778,0.51,444534,nan,nan,128,2.569,0.023
test_large_CU_qa,100000,1000,nan,512,0.127394197,0.51,441087,nan,nan,128,2.485,0.024
test_large_CU_qa,100000,1000,nan,32,0.131856285,0.51,452458,nan,nan,256,4.622,0.052
test_large_CU_qa,100000,1000,nan,128,0.137012375,0.50,496915,nan,nan,256,5.255,0.051
test_large_CU_qa,100000,1000,nan,256,0.131767200,0.50,472523,nan,nan,256,2.385,0.025
test_large_CU_qa,100000,1000,nan,512,0.128728054,0.50,465711,nan,nan,256,2.414,0.022
test_large_CU_qa,100000,1000,nan,32,0.125579447,0.51,452725,nan,nan,512,4.607,0.051
test_large_CU_qa,100000,1000,nan,128,0.125221639,0.51,452853,nan,nan,512,5.358,0.053
test_large_CU_qa,100000,1000,nan,256,0.125244817,0.51,453380,nan,nan,512,5.249,0.065
test_large_CU_qa,100000,1000,nan,512,0.129427275,0.51,449228,nan,nan,512,5.243,0.050
test_extralarge_CU_qa,1000000,1000,nan,32,0.150686012,0.51,458565,nan,nan,128,2.470,0.024
test_extralarge_CU_qa,1000000,1000,nan,128,0.127147477,0.50,468853,nan,nan,128,2.916,0.030
test_extralarge_CU_qa,1000000,1000,nan,256,0.127137247,0.51,468638,nan,nan,128,2.477,0.024
test_extralarge_CU_qa,1000000,1000,nan,512,0.129767887,0.51,452632,nan,nan,128,2.417,0.024
test_extralarge_CU_qa,1000000,1000,nan,32,0.125754255,0.51,439044,nan,nan,256,2.407,0.023
test_extralarge_CU_qa,1000000,1000,nan,128,0.127002141,0.51,434075,nan,nan,256,2.362,0.022
test_extralarge_CU_qa,1000000,1000,nan,256,0.129900463,0.50,486991,nan,nan,256,5.210,0.051
test_extralarge_CU_qa,1000000,1000,nan,512,0.128063514,0.51,450476,nan,nan,256,2.411,0.024
test_extralarge_CU_qa,1000000,1000,nan,32,0.133214458,0.51,460744,nan,nan,512,4.625,0.051
test_extralarge_CU_qa,1000000,1000,nan,128,0.125260903,0.51,443306,nan,nan,512,2.424,0.023
