dataset,n,tsteps,cpu_threads,block_size,seconds_time_elapsed,insn_per_cycle,branch_misses,gpu_teams,gpu_threads_per_team,cuda_threads,ket,saxpy
test_mini,500,2,1,nan,0,005291787,0.52,15617,nan,nan,nan,0.012,0.005
test_small,1000,10,1,nan,0,007632155,0.58,16352,nan,nan,nan,0.013,0.007
test_standard,10000,100,1,nan,0,010328794,1.76,17303,nan,nan,nan,0.052,0.032
test_large,100000,1000,1,nan,0,516434908,2.02,31511,nan,nan,nan,0.498,0.310
test_extralarge,1000000,1000,1,nan,5,197127361,1.97,78324,nan,nan,nan,5.088,2.872
test_mini_C,500,2,1,nan,0,011194507,1.59,18872,nan,nan,nan,0.047,0.028
test_mini_C,500,2,2,nan,0,009624881,1.75,24233,nan,nan,nan,0.047,0.029
test_mini_C,500,2,4,nan,0,011198423,1.56,35928,nan,nan,nan,0.048,0.029
test_mini_C,500,2,8,nan,0,019711598,1.60,55702,nan,nan,nan,0.092,0.028
test_small_C,1000,10,1,nan,0,010226551,1.59,19129,nan,nan,nan,0.047,0.029
test_small_C,1000,10,2,nan,0,009820868,1.74,24786,nan,nan,nan,0.042,0.026
test_small_C,1000,10,4,nan,0,011165592,1.54,34994,nan,nan,nan,0.047,0.029
test_small_C,1000,10,8,nan,0,020294043,1.62,56899,nan,nan,nan,0.064,0.028
test_standard_C,10000,100,1,nan,0,009934448,1.59,18569,nan,nan,nan,0.046,0.028
test_standard_C,10000,100,2,nan,0,009926417,1.75,24322,nan,nan,nan,0.047,0.029
test_standard_C,10000,100,4,nan,0,011123160,1.55,34715,nan,nan,nan,0.046,0.028
test_standard_C,10000,100,8,nan,0,019513729,1.61,55031,nan,nan,nan,0.078,0.028
test_large_C,100000,1000,1,nan,0,010446035,1.59,18996,nan,nan,nan,0.046,0.028
test_large_C,100000,1000,2,nan,0,009859661,1.74,24612,nan,nan,nan,0.047,0.029
test_large_C,100000,1000,4,nan,0,010998137,1.56,34930,nan,nan,nan,0.050,0.031
test_large_C,100000,1000,8,nan,0,019654800,1.60,55938,nan,nan,nan,0.089,0.029
test_extralarge_C,1000000,1000,1,nan,0,011197224,1.60,18906,nan,nan,nan,0.047,0.028
test_extralarge_C,1000000,1000,2,nan,0,009670283,1.74,24351,nan,nan,nan,0.049,0.030
test_extralarge_C,1000000,1000,4,nan,0,011156885,1.55,35397,nan,nan,nan,0.047,0.029
test_extralarge_C,1000000,1000,8,nan,0,019925190,1.59,56928,nan,nan,nan,0.096,0.029
test_mini_G,500,2,nan,nan,0,052428134,1.88,318548,2,16,nan,1.102,0.545
test_mini_G,500,2,nan,nan,0,049550223,1.87,316254,2,128,nan,0.253,0.126
test_mini_G,500,2,nan,nan,0,046656375,1.80,306854,4,16,nan,0.687,0.547
test_mini_G,500,2,nan,nan,0,050093066,1.87,319284,4,128,nan,1.239,0.676
test_mini_G,500,2,nan,nan,0,050149411,1.82,313562,32,16,nan,0.684,0.131
test_mini_G,500,2,nan,nan,0,053607684,1.95,326530,32,128,nan,0.690,0.135
test_mini_G,500,2,nan,nan,0,053345920,1.93,323341,128,16,nan,1.123,0.561
test_mini_G,500,2,nan,nan,0,048679658,1.85,313976,128,128,nan,0.255,0.124
test_small_G,1000,10,nan,nan,0,050742535,1.88,311818,2,16,nan,0.248,0.120
test_small_G,1000,10,nan,nan,0,047557380,1.83,305567,2,128,nan,0.252,0.125
test_small_G,1000,10,nan,nan,0,052132349,1.92,319374,4,16,nan,0.253,0.125
test_small_G,1000,10,nan,nan,0,050003836,1.88,322092,4,128,nan,1.251,1.100
test_small_G,1000,10,nan,nan,0,053846012,1.95,324202,32,16,nan,0.245,0.120
test_small_G,1000,10,nan,nan,0,051659873,1.91,322835,32,128,nan,0.254,0.121
test_small_G,1000,10,nan,nan,0,050975112,1.90,322173,128,16,nan,0.692,0.556
test_small_G,1000,10,nan,nan,0,051606111,1.91,321117,128,128,nan,0.250,0.123
test_standard_G,10000,100,nan,nan,0,053311618,1.92,325230,2,16,nan,0.696,0.558
test_standard_G,10000,100,nan,nan,0,049225137,1.86,313814,2,128,nan,0.686,0.546
test_standard_G,10000,100,nan,nan,0,054506606,1.97,330117,4,16,nan,1.314,0.758
test_standard_G,10000,100,nan,nan,0,048986175,1.86,309601,4,128,nan,0.676,0.126
test_standard_G,10000,100,nan,nan,0,051068197,1.84,314873,32,16,nan,0.251,0.124
test_standard_G,10000,100,nan,nan,0,052926123,1.93,326313,32,128,nan,0.252,0.125
test_standard_G,10000,100,nan,nan,0,052462646,1.93,330528,128,16,nan,1.101,0.546
test_standard_G,10000,100,nan,nan,0,048975550,1.85,319623,128,128,nan,0.252,0.119
test_large_G,100000,1000,nan,nan,0,051272691,1.87,320889,2,16,nan,0.675,0.130
test_large_G,100000,1000,nan,nan,0,051461663,1.91,324192,2,128,nan,0.251,0.126
test_large_G,100000,1000,nan,nan,0,056243541,2.00,334421,4,16,nan,0.684,0.132
test_large_G,100000,1000,nan,nan,0,046495875,1.79,304370,4,128,nan,0.250,0.124
test_large_G,100000,1000,nan,nan,0,052620015,1.93,325866,32,16,nan,1.103,0.548
test_large_G,100000,1000,nan,nan,0,051119178,1.90,323638,32,128,nan,0.675,0.127
test_large_G,100000,1000,nan,nan,0,051109407,1.90,318817,128,16,nan,0.689,0.555
test_large_G,100000,1000,nan,nan,0,047218689,1.81,312293,128,128,nan,0.706,0.143
test_extralarge_G,1000000,1000,nan,nan,0,057461165,2.00,335677,2,16,nan,0.832,0.552
test_extralarge_G,1000000,1000,nan,nan,0,049244201,1.85,322635,2,128,nan,0.260,0.124
test_extralarge_G,1000000,1000,nan,nan,0,049194679,1.85,313381,4,16,nan,0.247,0.122
test_extralarge_G,1000000,1000,nan,nan,0,048676348,1.85,318077,4,128,nan,1.269,0.558
test_extralarge_G,1000000,1000,nan,nan,0,049006072,1.85,318495,32,16,nan,0.251,0.123
test_extralarge_G,1000000,1000,nan,nan,0,051615104,1.91,327194,32,128,nan,0.681,0.546
test_extralarge_G,1000000,1000,nan,nan,0,048545554,1.83,317616,128,16,nan,0.248,0.124
test_extralarge_G,1000000,1000,nan,nan,0,047202262,1.81,313956,128,128,nan,0.256,0.126
test_mini_CU_es,500,2,nan,32,0,222722689,0.53,404512,nan,nan,128,0.022,0.005
test_mini_CU_es,500,2,nan,128,0,230722463,0.61,410381,nan,nan,128,0.013,0.003
test_mini_CU_es,500,2,nan,256,0,222242671,0.63,425716,nan,nan,128,0.016,0.004
test_mini_CU_es,500,2,nan,512,0,224243402,0.62,420512,nan,nan,128,0.005,0.001
test_mini_CU_es,500,2,nan,32,0,227289649,0.63,421790,nan,nan,256,0.006,0.001
test_mini_CU_es,500,2,nan,128,0,235206349,0.53,425066,nan,nan,256,0.013,0.003
test_mini_CU_es,500,2,nan,256,0,222624732,0.53,398504,nan,nan,256,0.014,0.003
test_mini_CU_es,500,2,nan,512,0,227509747,0.53,411506,nan,nan,256,0.013,0.003
test_mini_CU_es,500,2,nan,32,0,230119602,0.52,431938,nan,nan,512,0.008,0.002
test_mini_CU_es,500,2,nan,128,0,229268484,0.53,418326,nan,nan,512,0.021,0.005
test_mini_CU_es,500,2,nan,256,0,223172627,0.53,406704,nan,nan,512,0.005,0.001
test_mini_CU_es,500,2,nan,512,0,231753484,0.53,407429,nan,nan,512,0.006,0.002
test_small_CU_es,1000,10,nan,32,0,230259893,0.53,409434,nan,nan,128,0.016,0.004
test_small_CU_es,1000,10,nan,128,0,225118238,0.53,409606,nan,nan,128,0.016,0.004
test_small_CU_es,1000,10,nan,256,0,222728065,0.53,407857,nan,nan,128,0.006,0.001
test_small_CU_es,1000,10,nan,512,0,218419403,0.54,396901,nan,nan,128,0.007,0.002
test_small_CU_es,1000,10,nan,32,0,225996878,0.53,401596,nan,nan,256,0.012,0.003
test_small_CU_es,1000,10,nan,128,0,222206402,0.53,401165,nan,nan,256,0.021,0.005
test_small_CU_es,1000,10,nan,256,0,228376334,0.53,409093,nan,nan,256,0.005,0.001
test_small_CU_es,1000,10,nan,512,0,222994321,0.53,401251,nan,nan,256,0.016,0.004
test_small_CU_es,1000,10,nan,32,0,221045249,0.54,390984,nan,nan,512,0.005,0.001
test_small_CU_es,1000,10,nan,128,0,226333730,0.53,420968,nan,nan,512,0.005,0.001
test_small_CU_es,1000,10,nan,256,0,219902627,0.53,410742,nan,nan,512,0.005,0.001
test_small_CU_es,1000,10,nan,512,0,221336931,0.53,410556,nan,nan,512,0.016,0.004
test_standard_CU_es,10000,100,nan,32,0,231966055,0.54,407009,nan,nan,128,0.017,0.004
test_standard_CU_es,10000,100,nan,128,0,219266956,0.54,405883,nan,nan,128,0.021,0.005
test_standard_CU_es,10000,100,nan,256,0,227285148,0.53,415978,nan,nan,128,0.021,0.005
test_standard_CU_es,10000,100,nan,512,0,224344893,0.64,396574,nan,nan,128,0.013,0.003
test_standard_CU_es,10000,100,nan,32,0,216462506,0.67,399428,nan,nan,256,0.006,0.001
test_standard_CU_es,10000,100,nan,128,0,213798380,0.64,391614,nan,nan,256,0.005,0.001
test_standard_CU_es,10000,100,nan,256,0,217536638,0.60,398396,nan,nan,256,0.021,0.005
test_standard_CU_es,10000,100,nan,512,0,226111162,0.63,396417,nan,nan,256,0.005,0.001
test_standard_CU_es,10000,100,nan,32,0,221618017,0.65,404855,nan,nan,512,0.013,0.003
test_standard_CU_es,10000,100,nan,128,0,231983174,0.60,409188,nan,nan,512,0.006,0.001
test_standard_CU_es,10000,100,nan,256,0,226280947,0.58,408896,nan,nan,512,0.010,0.002
test_standard_CU_es,10000,100,nan,512,0,215333199,0.53,397902,nan,nan,512,0.006,0.001
test_large_CU_es,100000,1000,nan,32,0,240979575,0.54,410345,nan,nan,128,0.015,0.004
test_large_CU_es,100000,1000,nan,128,0,229611861,0.53,408857,nan,nan,128,0.016,0.004
test_large_CU_es,100000,1000,nan,256,0,228313309,0.53,408696,nan,nan,128,0.005,0.001
test_large_CU_es,100000,1000,nan,512,0,231044937,0.53,405997,nan,nan,128,0.016,0.004
test_large_CU_es,100000,1000,nan,32,0,224846952,0.53,402285,nan,nan,256,0.021,0.005
test_large_CU_es,100000,1000,nan,128,0,228274279,0.53,410044,nan,nan,256,0.021,0.005
test_large_CU_es,100000,1000,nan,256,0,226465677,0.57,415991,nan,nan,256,0.008,0.002
test_large_CU_es,100000,1000,nan,512,0,222867494,0.63,408614,nan,nan,256,0.006,0.001
test_large_CU_es,100000,1000,nan,32,0,226483022,0.64,416184,nan,nan,512,0.017,0.004
test_large_CU_es,100000,1000,nan,128,0,234737874,0.65,430349,nan,nan,512,0.016,0.004
test_large_CU_es,100000,1000,nan,256,0,228416668,0.64,417584,nan,nan,512,0.016,0.004
test_large_CU_es,100000,1000,nan,512,0,224753391,0.63,399562,nan,nan,512,0.016,0.004
test_extralarge_CU_es,1000000,1000,nan,32,0,234433958,0.57,418331,nan,nan,128,0.016,0.004
test_extralarge_CU_es,1000000,1000,nan,128,0,223146193,0.65,415265,nan,nan,128,0.017,0.004
test_extralarge_CU_es,1000000,1000,nan,256,0,219521260,0.62,408986,nan,nan,128,0.022,0.005
test_extralarge_CU_es,1000000,1000,nan,512,0,215092387,0.60,403420,nan,nan,128,0.022,0.005
test_extralarge_CU_es,1000000,1000,nan,32,0,218789874,0.65,391255,nan,nan,256,0.013,0.003
test_extralarge_CU_es,1000000,1000,nan,128,0,218794020,0.66,397778,nan,nan,256,0.016,0.004
test_extralarge_CU_es,1000000,1000,nan,256,0,220555736,0.63,416369,nan,nan,256,0.021,0.005
test_extralarge_CU_es,1000000,1000,nan,512,0,222630989,0.64,419743,nan,nan,256,0.016,0.004
test_extralarge_CU_es,1000000,1000,nan,32,0,223023464,0.65,415739,nan,nan,512,0.016,0.004
test_extralarge_CU_es,1000000,1000,nan,128,0,224773629,0.59,402167,nan,nan,512,0.017,0.004
test_extralarge_CU_es,1000000,1000,nan,256,0,216488703,0.53,403184,nan,nan,512,0.012,0.003
test_extralarge_CU_es,1000000,1000,nan,512,0,219977291,0.53,400942,nan,nan,512,0.005,0.001
test_mini_CU_qa,500,2,nan,32,0,232767242,0.53,430211,nan,nan,128,0.025,0.020
test_mini_CU_qa,500,2,nan,128,0,231145716,0.52,426095,nan,nan,128,0.028,0.022
test_mini_CU_qa,500,2,nan,256,0,227481584,0.52,423505,nan,nan,128,0.030,0.023
test_mini_CU_qa,500,2,nan,512,0,232819629,0.52,432722,nan,nan,128,0.029,0.023
test_mini_CU_qa,500,2,nan,32,0,227600930,0.52,436880,nan,nan,256,0.029,0.022
test_mini_CU_qa,500,2,nan,128,0,228282421,0.52,427297,nan,nan,256,0.029,0.023
test_mini_CU_qa,500,2,nan,256,0,226859627,0.52,428931,nan,nan,256,0.029,0.023
test_mini_CU_qa,500,2,nan,512,0,232946018,0.53,417204,nan,nan,256,0.029,0.023
test_mini_CU_qa,500,2,nan,32,0,235311505,0.52,438352,nan,nan,512,0.030,0.024
test_mini_CU_qa,500,2,nan,128,0,225858810,0.53,427188,nan,nan,512,0.028,0.022
test_mini_CU_qa,500,2,nan,256,0,230212423,0.53,413121,nan,nan,512,0.029,0.023
test_mini_CU_qa,500,2,nan,512,0,227259646,0.53,413409,nan,nan,512,0.030,0.024
test_small_CU_qa,1000,10,nan,32,0,225340016,1.35,406644,nan,nan,128,0.030,0.023
test_small_CU_qa,1000,10,nan,128,0,223655103,0.60,427945,nan,nan,128,0.029,0.023
test_small_CU_qa,1000,10,nan,256,0,221234918,0.53,411486,nan,nan,128,0.030,0.024
test_small_CU_qa,1000,10,nan,512,0,227415779,0.53,414482,nan,nan,128,0.030,0.024
test_small_CU_qa,1000,10,nan,32,0,222793278,1.23,413921,nan,nan,256,0.029,0.022
test_small_CU_qa,1000,10,nan,128,0,219297409,1.55,405143,nan,nan,256,0.029,0.023
test_small_CU_qa,1000,10,nan,256,0,213121746,1.44,405698,nan,nan,256,0.030,0.024
test_small_CU_qa,1000,10,nan,512,0,221047688,1.29,406996,nan,nan,256,0.029,0.023
test_small_CU_qa,1000,10,nan,32,0,215162947,1.28,403668,nan,nan,512,0.028,0.022
test_small_CU_qa,1000,10,nan,128,0,210554706,1.42,407121,nan,nan,512,0.029,0.023
test_small_CU_qa,1000,10,nan,256,0,216114296,1.28,410115,nan,nan,512,0.030,0.024
test_small_CU_qa,1000,10,nan,512,0,220989063,1.38,405550,nan,nan,512,0.031,0.025
test_standard_CU_qa,10000,100,nan,32,0,231888369,1.30,444301,nan,nan,128,0.030,0.024
test_standard_CU_qa,10000,100,nan,128,0,222194285,0.52,426821,nan,nan,128,0.030,0.023
test_standard_CU_qa,10000,100,nan,256,0,222326589,0.53,417950,nan,nan,128,0.030,0.023
test_standard_CU_qa,10000,100,nan,512,0,220147711,0.52,426008,nan,nan,128,0.030,0.023
test_standard_CU_qa,10000,100,nan,32,0,222238453,0.52,430309,nan,nan,256,0.029,0.022
test_standard_CU_qa,10000,100,nan,128,0,226853924,0.54,448087,nan,nan,256,0.029,0.022
test_standard_CU_qa,10000,100,nan,256,0,224142985,0.52,426141,nan,nan,256,0.030,0.023
test_standard_CU_qa,10000,100,nan,512,0,230092769,0.53,423501,nan,nan,256,0.028,0.022
test_standard_CU_qa,10000,100,nan,32,0,224135569,0.53,428388,nan,nan,512,0.029,0.022
test_standard_CU_qa,10000,100,nan,128,0,220863568,0.53,423051,nan,nan,512,0.028,0.022
test_standard_CU_qa,10000,100,nan,256,0,223448100,0.53,424576,nan,nan,512,0.029,0.023
test_standard_CU_qa,10000,100,nan,512,0,222761943,0.52,429650,nan,nan,512,0.030,0.023
test_large_CU_qa,100000,1000,nan,32,0,234413324,0.53,431157,nan,nan,128,0.028,0.022
test_large_CU_qa,100000,1000,nan,128,0,230086952,0.52,431886,nan,nan,128,0.029,0.022
test_large_CU_qa,100000,1000,nan,256,0,229576006,0.55,422639,nan,nan,128,0.029,0.023
test_large_CU_qa,100000,1000,nan,512,0,229990492,0.52,424607,nan,nan,128,0.029,0.023
test_large_CU_qa,100000,1000,nan,32,0,223169579,0.53,424470,nan,nan,256,0.028,0.022
test_large_CU_qa,100000,1000,nan,128,0,219969580,0.53,407777,nan,nan,256,0.080,0.072
test_large_CU_qa,100000,1000,nan,256,0,229553705,0.53,424398,nan,nan,256,0.029,0.023
test_large_CU_qa,100000,1000,nan,512,0,229602091,0.53,420794,nan,nan,256,0.030,0.023
test_large_CU_qa,100000,1000,nan,32,0,220311878,0.52,423743,nan,nan,512,0.030,0.024
test_large_CU_qa,100000,1000,nan,128,0,219532209,0.52,427853,nan,nan,512,0.030,0.023
test_large_CU_qa,100000,1000,nan,256,0,217149941,1.13,408401,nan,nan,512,0.031,0.025
test_large_CU_qa,100000,1000,nan,512,0,212656150,1.43,408131,nan,nan,512,0.029,0.022
test_extralarge_CU_qa,1000000,1000,nan,32,0,231561909,1.54,415214,nan,nan,128,0.029,0.023
test_extralarge_CU_qa,1000000,1000,nan,128,0,220649117,1.45,409952,nan,nan,128,0.029,0.023
test_extralarge_CU_qa,1000000,1000,nan,256,0,222848038,1.17,410364,nan,nan,128,0.030,0.023
test_extralarge_CU_qa,1000000,1000,nan,512,0,220691181,1.16,407044,nan,nan,128,0.029,0.023
