dataset,n,tsteps,cpu_threads,block_size,seconds_time_elapsed,insn_per_cycle,branch_misses,gpu_teams,gpu_threads_per_team,cuda_threads,ket_ms,saxpy_ms
test_mini,500,2,1,nan,0.004658271,0.50,15840,nan,nan,nan,0.012,0.002
test_small,1000,10,1,nan,0.005031163,0.54,15894,nan,nan,nan,0.046,0.004
test_standard,10000,100,1,nan,0.011006178,1.81,16686,nan,nan,nan,2.614,0.034
test_large,100000,1000,1,nan,0.548426449,1.87,26424,nan,nan,nan,274.413,0.337
test_extralarge,1000000,1000,1,nan,5.140619354,1.98,66897,nan,nan,nan,2529.635,2.849
test_mini_C,500,2,1,nan,0.006363130,0.53,16123,nan,nan,nan,0.032,0.009
test_mini_C,500,2,2,nan,0.005254591,0.65,18871,nan,nan,nan,0.019,0.004
test_mini_C,500,2,4,nan,0.005821155,1.05,22993,nan,nan,nan,0.024,0.006
test_mini_C,500,2,8,nan,0.005310108,0.51,31748,nan,nan,nan,0.036,0.005
test_small_C,1000,10,1,nan,0.006150464,0.56,16284,nan,nan,nan,0.106,0.011
test_small_C,1000,10,2,nan,0.004481404,0.68,19082,nan,nan,nan,0.051,0.005
test_small_C,1000,10,4,nan,0.004796769,1.06,24070,nan,nan,nan,0.060,0.006
test_small_C,1000,10,8,nan,0.006058383,0.63,32874,nan,nan,nan,0.096,0.006
test_standard_C,10000,100,1,nan,0.010027350,1.61,17906,nan,nan,nan,2.493,0.032
test_standard_C,10000,100,2,nan,0.009423463,1.76,22586,nan,nan,nan,2.335,0.029
test_standard_C,10000,100,4,nan,0.011096148,1.56,30922,nan,nan,nan,2.929,0.034
test_standard_C,10000,100,8,nan,0.019740214,1.66,46421,nan,nan,nan,2.683,0.016
test_large_C,100000,1000,1,nan,0.536052568,1.79,38320,nan,nan,nan,239.747,0.304
test_large_C,100000,1000,2,nan,0.585994479,1.64,60628,nan,nan,nan,292.111,0.331
test_large_C,100000,1000,4,nan,0.616788131,1.57,117935,nan,nan,nan,309.445,0.371
test_large_C,100000,1000,8,nan,1.227205419,1.57,226378,nan,nan,nan,556.964,0.296
test_extralarge_C,1000000,1000,1,nan,5.121709568,1.85,85986,nan,nan,nan,2523.310,2.846
test_extralarge_C,1000000,1000,2,nan,6.468769963,1.47,161725,nan,nan,nan,3187.760,3.339
