dataset,n,tsteps,cpu_threads,block_size,seconds_time_elapsed,insn_per_cycle,branch_misses,gpu_teams,gpu_threads_per_team,cuda_threads,ket,saxpy
test_mini,500,2,1,nan,0,005167150,0.51,16064,nan,nan,nan,0.007,0.003
test_small,1000,10,1,nan,0,004219070,0.53,15860,nan,nan,nan,0.007,0.004
test_standard,10000,100,1,nan,0,009733893,1.76,17109,nan,nan,nan,0.042,0.026
test_large,100000,1000,1,nan,0,540254202,1.94,31796,nan,nan,nan,0.515,0.305
test_extralarge,1000000,1000,1,nan,5,176842922,1.97,77414,nan,nan,nan,5.082,2.867
test_mini_C,500,2,1,nan,0,011901996,1.60,19185,nan,nan,nan,0.041,0.025
test_mini_C,500,2,2,nan,0,009609875,1.74,24361,nan,nan,nan,0.047,0.029
test_mini_C,500,2,4,nan,0,011050908,1.54,35454,nan,nan,nan,0.048,0.030
test_mini_C,500,2,8,nan,0,019182723,1.58,56283,nan,nan,nan,0.095,0.029
test_small_C,1000,10,1,nan,0,010560913,1.59,18718,nan,nan,nan,0.047,0.028
test_small_C,1000,10,2,nan,0,009702887,1.74,24274,nan,nan,nan,0.047,0.029
test_small_C,1000,10,4,nan,0,011111627,1.55,35180,nan,nan,nan,0.051,0.031
test_small_C,1000,10,8,nan,0,019838876,1.61,56713,nan,nan,nan,0.062,0.029
test_standard_C,10000,100,1,nan,0,011320563,1.59,18885,nan,nan,nan,0.048,0.029
test_standard_C,10000,100,2,nan,0,009960943,1.74,24655,nan,nan,nan,0.047,0.029
test_standard_C,10000,100,4,nan,0,011065756,1.55,35433,nan,nan,nan,0.047,0.029
test_standard_C,10000,100,8,nan,0,019634397,1.57,56631,nan,nan,nan,0.068,0.028
test_large_C,100000,1000,1,nan,0,011570250,1.59,19294,nan,nan,nan,0.049,0.030
test_large_C,100000,1000,2,nan,0,009663651,1.75,24398,nan,nan,nan,0.047,0.028
test_large_C,100000,1000,4,nan,0,011025557,1.55,35511,nan,nan,nan,0.047,0.028
test_large_C,100000,1000,8,nan,0,020016690,1.61,54999,nan,nan,nan,0.073,0.028
test_extralarge_C,1000000,1000,1,nan,0,011495446,1.59,19369,nan,nan,nan,0.049,0.030
test_extralarge_C,1000000,1000,2,nan,0,009783466,1.74,24655,nan,nan,nan,0.046,0.028
test_extralarge_C,1000000,1000,4,nan,0,016099928,1.54,35542,nan,nan,nan,0.048,0.029
test_extralarge_C,1000000,1000,8,nan,0,019670099,1.62,57292,nan,nan,nan,0.074,0.029
test_mini_G,500,2,nan,nan,0,051622179,1.90,319013,2,16,nan,0.252,0.122
