dataset,n,tsteps,cpu_threads,block_size,seconds_time_elapsed,insn_per_cycle,branch_misses,gpu_teams,gpu_threads_per_team,cuda_threads,ket_ms,saxpy_ms
test_mini,500,2,1,nan,0.004852940,0.50,15945,nan,nan,nan,0.014,0.003
test_small,1000,10,1,nan,0.004757761,0.54,15810,nan,nan,nan,0.045,0.005
test_standard,10000,100,1,nan,0.009754079,1.79,17053,nan,nan,nan,2.041,0.026
test_large,100000,1000,1,nan,0.584406572,1.75,26618,nan,nan,nan,285.973,0.345
test_extralarge,1000000,1000,1,nan,5.166829160,1.97,67354,nan,nan,nan,2543.442,2.835
test_mini_C,500,2,1,nan,0.011284082,1.57,29931,nan,nan,nan,2.965,0.031
test_mini_C,500,2,2,nan,0.011341593,1.57,30313,nan,nan,nan,2.861,0.031
test_mini_C,500,2,4,nan,0.010880528,1.56,30431,nan,nan,nan,2.989,0.032
test_mini_C,500,2,8,nan,0.011249836,1.57,30329,nan,nan,nan,2.921,0.089
test_small_C,1000,10,1,nan,0.011031296,1.56,30675,nan,nan,nan,3.019,0.032
test_small_C,1000,10,2,nan,0.010786386,1.57,29278,nan,nan,nan,2.979,0.031
test_small_C,1000,10,4,nan,0.011015322,1.58,29341,nan,nan,nan,2.933,0.030
test_small_C,1000,10,8,nan,0.010933248,1.57,30126,nan,nan,nan,2.895,0.030
test_standard_C,10000,100,1,nan,0.010855231,1.56,30231,nan,nan,nan,2.992,0.032
test_standard_C,10000,100,2,nan,0.010660191,1.57,29905,nan,nan,nan,2.857,0.031
test_standard_C,10000,100,4,nan,0.010838595,1.56,30343,nan,nan,nan,2.918,0.032
test_standard_C,10000,100,8,nan,0.010811892,1.57,30130,nan,nan,nan,3.071,0.031
test_large_C,100000,1000,1,nan,0.011006458,1.56,30695,nan,nan,nan,2.988,0.031
test_large_C,100000,1000,2,nan,0.010915810,1.57,30360,nan,nan,nan,2.906,0.031
test_large_C,100000,1000,4,nan,0.010789870,1.55,28984,nan,nan,nan,2.990,0.032
test_large_C,100000,1000,8,nan,0.010772792,1.57,29489,nan,nan,nan,2.963,0.031
test_extralarge_C,1000000,1000,1,nan,0.010785839,1.57,29609,nan,nan,nan,2.908,0.031
test_extralarge_C,1000000,1000,2,nan,0.011148403,1.57,29986,nan,nan,nan,2.967,0.032
test_extralarge_C,1000000,1000,4,nan,0.011073063,1.57,30518,nan,nan,nan,2.940,0.031
test_extralarge_C,1000000,1000,8,nan,0.010965551,1.57,29704,nan,nan,nan,2.922,0.031
test_mini_G,500,2,nan,nan,0.051645704,1.93,323922,2,16,nan,21.812,0.558
test_mini_G,500,2,nan,nan,0.050480553,1.90,319786,2,128,nan,22.641,0.549
test_mini_G,500,2,nan,nan,0.051454215,1.93,315522,3,16,nan,38.284,0.127
test_mini_G,500,2,nan,nan,0.055030945,1.98,325389,3,128,nan,26.268,0.552
test_mini_G,500,2,nan,nan,0.052787468,1.94,312163,32,16,nan,18.921,0.124
test_mini_G,500,2,nan,nan,0.052420834,1.93,319876,32,128,nan,21.329,0.552
test_mini_G,500,2,nan,nan,0.045836551,1.80,306356,128,16,nan,24.336,0.549
test_mini_G,500,2,nan,nan,0.048324564,1.85,305384,128,128,nan,18.403,0.126
test_small_G,1000,10,nan,nan,0.054941790,1.98,320375,2,16,nan,32.676,0.131
test_small_G,1000,10,nan,nan,0.047528144,1.84,300168,2,128,nan,23.448,0.132
test_small_G,1000,10,nan,nan,0.048372807,1.85,308651,3,16,nan,24.898,0.124
test_small_G,1000,10,nan,nan,0.048604048,1.86,310265,3,128,nan,17.744,0.283
test_small_G,1000,10,nan,nan,0.045942061,1.79,305637,32,16,nan,17.447,0.126
test_small_G,1000,10,nan,nan,0.049483165,1.90,304751,32,128,nan,22.000,0.125
test_small_G,1000,10,nan,nan,0.050246134,1.90,314428,128,16,nan,29.659,0.126
test_small_G,1000,10,nan,nan,0.046146583,1.80,303685,128,128,nan,30.000,0.546
test_standard_G,10000,100,nan,nan,0.051105329,1.90,314964,2,16,nan,16.300,0.124
test_standard_G,10000,100,nan,nan,0.050759008,1.92,313769,2,128,nan,15.552,0.124
test_standard_G,10000,100,nan,nan,0.045645949,1.78,304049,3,16,nan,23.024,0.123
test_standard_G,10000,100,nan,nan,0.047844985,1.84,307695,3,128,nan,26.348,0.124
test_standard_G,10000,100,nan,nan,0.050434432,1.89,312982,32,16,nan,19.239,0.122
test_standard_G,10000,100,nan,nan,0.048349200,1.84,302623,32,128,nan,19.224,0.123
test_standard_G,10000,100,nan,nan,0.048247675,1.86,312206,128,16,nan,17.943,0.127
test_standard_G,10000,100,nan,nan,0.045908676,1.79,302664,128,128,nan,20.432,0.121
test_large_G,100000,1000,nan,nan,0.046294555,1.79,305238,2,16,nan,16.893,0.132
test_large_G,100000,1000,nan,nan,0.047006181,1.81,302655,2,128,nan,21.733,0.123
test_large_G,100000,1000,nan,nan,0.050019073,1.90,304581,3,16,nan,34.283,0.133
test_large_G,100000,1000,nan,nan,0.054565273,1.98,315804,3,128,nan,18.440,0.131
test_large_G,100000,1000,nan,nan,0.049476160,1.88,303382,32,16,nan,30.950,0.554
test_large_G,100000,1000,nan,nan,0.051076280,1.89,316497,32,128,nan,26.740,0.124
test_large_G,100000,1000,nan,nan,0.045046629,1.72,294791,128,16,nan,21.313,0.122
test_large_G,100000,1000,nan,nan,0.049516734,1.89,308669,128,128,nan,25.001,0.122
test_extralarge_G,1000000,1000,nan,nan,0.055398335,1.98,320401,2,16,nan,23.547,0.126
test_extralarge_G,1000000,1000,nan,nan,0.051098311,1.91,315293,2,128,nan,21.968,0.122
test_extralarge_G,1000000,1000,nan,nan,0.050908047,1.92,318152,3,16,nan,31.527,0.125
test_extralarge_G,1000000,1000,nan,nan,0.048959277,1.84,307654,3,128,nan,23.113,0.122
test_extralarge_G,1000000,1000,nan,nan,0.048956385,1.88,309745,32,16,nan,27.568,0.125
test_extralarge_G,1000000,1000,nan,nan,0.044408506,1.74,295252,32,128,nan,23.659,0.125
test_extralarge_G,1000000,1000,nan,nan,0.048966776,1.85,310821,128,16,nan,17.624,0.128
test_extralarge_G,1000000,1000,nan,nan,0.051530363,1.92,317604,128,128,nan,26.938,0.126
test_mini_CU_qa,500,2,nan,32,0.146371478,0.49,572550,nan,nan,128,11.083,0.054
test_mini_CU_qa,500,2,nan,256,0.126650739,0.51,432309,nan,nan,128,0.236,0.001
test_mini_CU_qa,500,2,nan,512,0.133001763,0.51,463892,nan,nan,128,0.250,0.001
test_mini_CU_qa,500,2,nan,32,0.150275232,0.49,569120,nan,nan,256,11.035,0.053
test_mini_CU_qa,500,2,nan,256,0.153731036,0.49,575951,nan,nan,256,11.189,0.055
test_mini_CU_qa,500,2,nan,512,0.134809986,0.51,459492,nan,nan,256,0.245,0.001
test_mini_CU_qa,500,2,nan,32,0.154436348,0.49,570639,nan,nan,512,11.063,0.053
test_mini_CU_qa,500,2,nan,256,0.142255417,0.49,547029,nan,nan,512,9.305,0.031
test_mini_CU_qa,500,2,nan,512,0.157856747,0.49,578251,nan,nan,512,11.109,0.052
