dataset,n,tsteps,cpu_threads,block_size,seconds_time_elapsed,insn_per_cycle,branch_misses,gpu_teams,gpu_threads_per_team,cuda_threads,ket_ms,saxpy_ms
test_mini,500,2,1,nan,0.005095530,0.51,15865,nan,nan,nan,0.012,0.002
test_small,1000,10,1,nan,0.005663134,0.55,16198,nan,nan,nan,0.043,0.005
test_standard,10000,100,1,nan,0.009053989,1.79,16869,nan,nan,nan,2.108,0.028
test_large,100000,1000,1,nan,0.663676333,1.54,28042,nan,nan,nan,265.682,0.306
test_extralarge,1000000,1000,1,nan,5.174684224,1.97,68587,nan,nan,nan,2552.599,2.825
test_mini_C,500,2,1,nan,0.004547328,0.50,16011,nan,nan,nan,0.020,0.005
test_mini_C,500,2,2,nan,0.005728895,0.63,17468,nan,nan,nan,0.037,0.005
test_mini_C,500,2,4,nan,0.008472906,1.00,20436,nan,nan,nan,0.029,0.003
test_mini_C,500,2,8,nan,0.005770255,0.48,29086,nan,nan,nan,0.249,0.104
test_small_C,1000,10,1,nan,0.004933079,0.54,16253,nan,nan,nan,0.082,0.009
test_small_C,1000,10,2,nan,0.004666200,0.66,17694,nan,nan,nan,0.042,0.003
test_small_C,1000,10,4,nan,0.004066491,1.03,20512,nan,nan,nan,0.026,0.002
test_small_C,1000,10,8,nan,0.005561017,0.51,35686,nan,nan,nan,0.680,0.072
test_standard_C,10000,100,1,nan,0.009471048,1.62,17119,nan,nan,nan,2.330,0.031
test_standard_C,10000,100,2,nan,0.007210551,1.64,19118,nan,nan,nan,1.121,0.015
test_standard_C,10000,100,4,nan,0.006292462,1.65,24908,nan,nan,nan,0.657,0.009
test_standard_C,10000,100,8,nan,0.013109433,0.89,86696,nan,nan,nan,3.898,0.085
test_large_C,100000,1000,1,nan,0.718397519,1.33,32135,nan,nan,nan,371.574,0.428
test_large_C,100000,1000,2,nan,0.351247917,1.44,39654,nan,nan,nan,169.211,0.188
test_large_C,100000,1000,4,nan,0.222550966,1.29,65467,nan,nan,nan,99.302,0.104
test_large_C,100000,1000,8,nan,0.286079956,1.12,525699,nan,nan,nan,133.305,0.225
test_extralarge_C,1000000,1000,1,nan,5.133120193,1.85,72838,nan,nan,nan,2564.747,2.900
