dataset,n,tsteps,cpu_threads,block_size,seconds_time_elapsed,insn_per_cycle,branch_misses,gpu_teams,gpu_threads_per_team,cuda_threads,ket,saxpy
test_small,1000,10,1,nan,0.0020442,0.96,6958,nan,nan,nan,0.002,0.001
test_standard,10000,100,1,nan,0.004221,3.06,7336,nan,nan,nan,0.019,0.012
test_large,100000,1000,1,nan,0.24982,3.24,18234,nan,nan,nan,0.221,0.147
test_extralarge,1000000,1000,1,nan,3.2531,2.65,53457,nan,nan,nan,3.476,2.127
test_mini_C,500,2,1,nan,0.004689,2.97,7897,nan,nan,nan,0.023,0.014
test_mini_C,500,2,2,nan,0.0056101,2.42,10050,nan,nan,nan,0.023,0.014
test_mini_C,500,2,4,nan,0.007258,1.95,15014,nan,nan,nan,0.030,0.019
test_mini_C,500,2,8,nan,0.011443,1.16,26410,nan,nan,nan,0.027,0.016
test_small_C,1000,10,1,nan,0.004585,2.93,8153,nan,nan,nan,0.023,0.014
test_small_C,1000,10,2,nan,0.0059793,2.41,10852,nan,nan,nan,0.023,0.014
test_small_C,1000,10,4,nan,0.007423,1.94,16272,nan,nan,nan,0.029,0.015
test_small_C,1000,10,8,nan,0.011725,1.17,28976,nan,nan,nan,0.037,0.020
test_standard_C,10000,100,1,nan,0.004574,2.94,7766,nan,nan,nan,0.023,0.014
test_standard_C,10000,100,2,nan,0.0056383,2.48,9764,nan,nan,nan,0.030,0.018
test_standard_C,10000,100,4,nan,0.007422,1.93,15303,nan,nan,nan,0.027,0.016
test_standard_C,10000,100,8,nan,0.012235,1.12,28120,nan,nan,nan,0.043,0.030
test_large_C,100000,1000,1,nan,0.004618,2.91,8384,nan,nan,nan,0.021,0.013
test_large_C,100000,1000,2,nan,0.005836,2.41,9798,nan,nan,nan,0.023,0.014
test_large_C,100000,1000,4,nan,0.007163,1.91,15396,nan,nan,nan,0.025,0.015
test_large_C,100000,1000,8,nan,0.011760,1.15,26868,nan,nan,nan,0.039,0.021
test_extralarge_C,1000000,1000,1,nan,0.006407,2.34,8539,nan,nan,nan,0.026,0.016
test_extralarge_C,1000000,1000,2,nan,0.0058345,2.43,11375,nan,nan,nan,0.025,0.015
test_extralarge_C,1000000,1000,4,nan,0.006924,2.00,13480,nan,nan,nan,0.036,0.019
test_extralarge_C,1000000,1000,8,nan,0.011330,1.17,26520,nan,nan,nan,0.029,0.018
test_mini_G,500,2,nan,nan,0.8945,0.11,1052220,2,16,nan,3.403,1.791
test_mini_G,500,2,nan,nan,1.230,0.09,1258207,2,128,nan,3.569,2.034
test_mini_G,500,2,nan,nan,1.958,0.08,1381594,4,16,nan,46.416,45.024
test_mini_G,500,2,nan,nan,1.584,0.08,1269732,4,128,nan,22.908,1.632
test_mini_G,500,2,nan,nan,8.96,0.06,2958351,32,16,nan,3.629,1.863
test_mini_G,500,2,nan,nan,7.263,0.06,2428304,32,128,nan,3.570,1.753
test_mini_G,500,2,nan,nan,8.284,0.06,3343077,128,16,nan,5.048,2.528
test_mini_G,500,2,nan,nan,7.875,0.06,3187163,128,128,nan,4.763,2.446
test_small_G,1000,10,nan,nan,0.7682,0.12,970072,2,16,nan,3.409,1.668
test_small_G,1000,10,nan,nan,1.530,0.08,1232634,2,128,nan,3.294,1.713
